Item ID,Country,Date,Price,Sales
A,Germany,1/1/2018,1,25
A,Sweden,1/2/2018,2,26
A,France,1/3/2018,3,2
A,Austria,1/4/2018,4,3
A,Hngary,1/5/2018,5,4
A,Finland,1/6/2018,6,5
A,UK,1/7/2018,7,6
A,Germany,1/8/2018,8,7
A,Sweden,1/9/2018,9,8
A,France,1/10/2018,10,9
A,Austria,1/11/2018,11,10
A,Hngary,1/12/2018,12,11
A,Finland,1/13/2018,13,12
A,UK,1/14/2018,14,13
A,Germany,1/15/2018,15,1
A,Sweden,1/16/2018,16,2
A,France,1/17/2018,17,3
A,Austria,1/18/2018,18,4
A,Hngary,1/19/2018,19,5
A,Finland,1/20/2018,20,6
A,UK,1/21/2018,21,7
A,Germany,1/22/2018,22,8
A,Sweden,1/23/2018,23,9
A,France,1/24/2018,24,10
A,Austria,1/25/2018,25,11
A,Hngary,1/26/2018,26,12
A,Finland,1/27/2018,2,13
A,UK,1/28/2018,3,14
A,Germany,1/29/2018,4,15
A,Sweden,1/30/2018,5,16
A,France,1/31/2018,6,17
A,Austria,2/1/2018,7,16
A,Hngary,2/2/2018,8,17
A,Finland,2/3/2018,9,18
A,UK,2/4/2018,10,19
A,Germany,2/5/2018,11,20
A,Sweden,2/6/2018,12,21
A,France,2/7/2018,13,22
A,Austria,2/8/2018,6.142857143,23
A,Hngary,2/9/2018,5.535714286,24
A,Finland,2/10/2018,4.928571429,25
A,UK,2/11/2018,4.321428571,26
A,Germany,2/12/2018,3.714285714,2
A,Sweden,2/13/2018,3.107142857,3
A,France,2/14/2018,2.5,4
A,Austria,1/1/2018,1.892857143,5
A,Germany,1/2/2018,1.285714286,6
A,Sweden,1/3/2018,0.6785714286,7
A,France,1/4/2018,0.07142857143,8
A,Austria,1/5/2018,25,9
A,Hngary,1/6/2018,26,10
B,Finland,1/7/2018,2,25
B,UK,1/8/2018,3,26
B,Germany,1/9/2018,4,2
B,Sweden,1/10/2018,5,3
B,France,1/11/2018,6,4
B,Austria,1/12/2018,7,5
B,Germany,1/13/2018,8,6
B,Sweden,1/14/2018,9,7
B,France,1/15/2018,10,8
B,Austria,1/16/2018,11,9
B,Hngary,1/17/2018,12,10
B,Finland,1/18/2018,13,11
B,UK,1/19/2018,6.142857143,12
B,Germany,1/20/2018,5.535714286,13
B,Sweden,1/21/2018,8.804621849,1
B,France,1/22/2018,8.834181041,2
B,Austria,1/23/2018,8.863740233,3
B,Germany,1/24/2018,8.893299425,4
B,Sweden,1/25/2018,8.922858617,5
B,France,1/26/2018,8.952417809,6
B,Austria,1/27/2018,8.981977001,7
B,Hngary,1/28/2018,9.011536193,8
B,Finland,1/29/2018,9.041095386,9
B,UK,1/30/2018,9.070654578,10
B,Germany,1/31/2018,9.10021377,11
B,Sweden,2/1/2018,9.129772962,12
B,France,2/2/2018,9.159332154,13
B,Austria,2/3/2018,9.188891346,14
B,Germany,2/4/2018,9.218450538,15
B,Sweden,2/5/2018,9.24800973,16
B,France,2/6/2018,9.277568922,17
B,Austria,2/7/2018,9.307128114,16
B,Hngary,2/8/2018,9.336687307,17
B,Finland,2/9/2018,9.366246499,18
B,UK,2/10/2018,9.395805691,19
B,Germany,2/11/2018,9.425364883,20
B,Sweden,2/12/2018,9.454924075,21
B,France,2/13/2018,9.484483267,22
B,Austria,2/14/2018,9.514042459,23
B,Germany,2/15/2018,9.543601651,24
B,Sweden,2/16/2018,9.573160843,25
B,France,2/17/2018,9.602720035,26
B,Austria,2/18/2018,9.632279227,2
B,Hngary,2/19/2018,9.66183842,3
B,Finland,2/20/2018,9.691397612,4
B,UK,2/21/2018,9.720956804,5
B,Germany,2/22/2018,9.750515996,6
B,Sweden,1/1/2018,9.780075188,7
B,France,1/2/2018,9.80963438,8
B,Austria,1/3/2018,9.839193572,9
B,Germany,1/4/2018,11,10
B,Sweden,1/5/2018,12,25
B,France,1/6/2018,13,26
B,Austria,1/7/2018,6.142857143,2
C,Hngary,1/8/2018,5.535714286,3
C,Finland,1/9/2018,8.804621849,4
C,UK,1/10/2018,8.834181041,5
C,Germany,1/11/2018,8.863740233,6
C,Sweden,1/12/2018,8.893299425,7
C,France,1/13/2018,8.922858617,8
C,Austria,1/14/2018,8.952417809,9
C,Germany,1/15/2018,8.981977001,10
C,Sweden,1/16/2018,9.011536193,11
C,France,1/17/2018,9.041095386,12
C,Austria,1/18/2018,9.070654578,13
C,Hngary,1/19/2018,9.10021377,1
C,Finland,1/20/2018,9.129772962,2
C,UK,1/21/2018,8.634202418,3
C,Germany,1/22/2018,8.580923122,4
C,Sweden,4/4/2018,8.527643827,5
C,France,4/5/2018,8.474364531,6
C,Austria,4/6/2018,8.421085236,7
C,Germany,4/7/2018,8.36780594,8
C,Sweden,4/8/2018,8.314526645,9
C,France,4/9/2018,8.261247349,10
C,Austria,4/10/2018,8.207968054,11
C,Hngary,4/11/2018,8.154688758,12
C,Finland,4/12/2018,8.101409463,13
C,UK,4/13/2018,8.048130167,14
C,Germany,4/14/2018,7.994850872,15
C,Sweden,4/15/2018,7.941571576,16
C,France,4/16/2018,7.88829228,17
C,Austria,4/17/2018,7.835012985,16
C,Germany,4/18/2018,7.781733689,17
C,Sweden,4/19/2018,7.728454394,18
C,France,4/20/2018,7.675175098,19
D,Austria,4/21/2018,7.621895803,20
D,Hngary,4/22/2018,7.568616507,21
D,Finland,4/23/2018,7.515337212,22
D,UK,4/24/2018,7.462057916,23
D,Germany,4/25/2018,7.408778621,24
D,Sweden,4/26/2018,7.355499325,25
D,France,5/5/2018,7.30222003,26
D,Austria,5/6/2018,7.248940734,2
D,Germany,5/7/2018,7.195661439,3
D,Sweden,5/8/2018,7.142382143,4
D,France,5/9/2018,7.089102848,5
D,Austria,5/10/2018,7.035823552,6
D,Hngary,5/11/2018,6.982544257,7
D,Finland,5/12/2018,6.929264961,8
D,UK,5/13/2018,6.875985666,9
D,Germany,5/14/2018,6.82270637,10
D,Sweden,5/15/2018,6.769427074,25
D,France,5/16/2018,6.716147779,26
D,Austria,5/17/2018,6.662868483,2
D,Germany,5/18/2018,6.609589188,3
D,Sweden,5/19/2018,6.556309892,4
D,France,5/20/2018,6.503030597,5
D,Austria,5/21/2018,6.449751301,6
D,Hngary,5/22/2018,6.396472006,7
D,Finland,5/23/2018,6.34319271,8
D,UK,5/24/2018,6.289913415,9
D,Germany,5/25/2018,6.236634119,10
D,Sweden,5/26/2018,6.183354824,11
D,France,5/27/2018,6.130075528,12
D,Austria,5/28/2018,6.076796233,13
D,Germany,5/29/2018,6.023516937,1
D,Sweden,5/30/2018,5.970237642,2
D,France,5/31/2018,5.916958346,3
D,Austria,6/1/2018,5.863679051,4
D,Hngary,6/2/2018,5.810399755,5
D,Finland,6/3/2018,5.75712046,6
D,UK,6/4/2018,5.703841164,7
D,Germany,6/5/2018,5.650561868,8
D,Sweden,6/6/2018,5.597282573,9
D,France,6/7/2018,5.544003277,10
D,Austria,6/8/2018,5.490723982,11
D,Germany,6/9/2018,5.437444686,12
D,Sweden,6/10/2018,5.384165391,13
D,France,6/11/2018,5.330886095,14
D,Austria,6/12/2018,5.2776068,15
D,Hngary,6/13/2018,5.224327504,16
D,Finland,6/14/2018,5.171048209,17
D,UK,6/15/2018,5.117768913,16
D,Germany,6/16/2018,5.064489618,17
D,Sweden,6/17/2018,5.011210322,18
D,France,6/18/2018,4.957931027,19
D,Austria,6/19/2018,4.904651731,20
D,Germany,6/6/2018,4.851372436,21
D,Sweden,6/7/2018,4.79809314,22
D,France,6/8/2018,4.744813845,23
D,Austria,6/9/2018,4.691534549,24
D,Hngary,6/10/2018,4.638255254,25
D,Finland,6/11/2018,4.584975958,26
D,UK,6/12/2018,4.531696662,2
D,Germany,6/13/2018,4.478417367,3
D,Sweden,6/14/2018,4.425138071,4
D,France,6/15/2018,4.371858776,5
D,Austria,6/16/2018,4.31857948,6
D,Germany,6/17/2018,4.265300185,7
D,Sweden,6/18/2018,4.212020889,8
D,France,6/19/2018,4.158741594,9
D,Austria,6/20/2018,4.105462298,10
D,Hngary,6/21/2018,4.052183003,25
E,Finland,6/22/2018,3.998903707,26
E,UK,6/23/2018,3.945624412,2
E,Germany,6/24/2018,3.892345116,3
E,Sweden,6/25/2018,3.839065821,4
E,France,6/26/2018,3.785786525,5
E,Austria,6/27/2018,3.73250723,6
E,Germany,6/28/2018,3.679227934,7
E,Sweden,6/29/2018,3.625948639,8
E,France,6/30/2018,3.572669343,9
E,Austria,7/1/2018,3.519390048,10
E,Hngary,7/2/2018,3.466110752,11
E,Finland,7/3/2018,3.412831456,12
E,UK,7/4/2018,3.359552161,13
E,Germany,7/5/2018,3.306272865,1
E,Sweden,7/6/2018,3.25299357,2
E,France,7/7/2018,3.199714274,3
E,Austria,7/8/2018,3.146434979,4
E,Germany,7/9/2018,3.093155683,5
E,Sweden,7/10/2018,3.039876388,6
E,France,7/11/2018,2.986597092,7
E,Austria,7/12/2018,2.933317797,8
E,Hngary,7/13/2018,2.880038501,9
E,Finland,7/14/2018,2.826759206,10
E,UK,7/15/2018,2.77347991,11
E,Germany,7/16/2018,2.720200615,12
E,Sweden,7/17/2018,2.666921319,13
E,France,7/18/2018,2.613642024,14
E,Austria,7/19/2018,2.560362728,15
E,Germany,7/20/2018,2.507083433,16
E,Sweden,7/21/2018,2.453804137,17
E,France,7/22/2018,2.400524842,16
E,Austria,7/23/2018,2.347245546,17
E,Hngary,7/24/2018,22,18
E,Finland,7/25/2018,23,19
E,UK,7/26/2018,24,20
E,Germany,7/27/2018,25,21
E,Sweden,7/28/2018,26,22
E,France,7/29/2018,2,23
E,Austria,7/30/2018,3,24
E,Germany,7/31/2018,4,25
E,Sweden,8/1/2018,5,26
E,France,8/2/2018,6,2
E,Austria,8/3/2018,7,3
E,Hngary,8/4/2018,8,4
E,Finland,8/5/2018,9,5
E,UK,8/6/2018,10,6
E,Germany,8/7/2018,11,7
E,Sweden,8/8/2018,12,8
E,France,8/9/2018,13,9
E,Austria,8/10/2018,6.142857143,10
E,Germany,8/11/2018,5.535714286,25
F,Sweden,9/9/2018,4.928571429,26
F,France,9/10/2018,4.321428571,2
F,Austria,9/11/2018,3.714285714,3
F,Hngary,9/12/2018,3.107142857,4
F,Finland,9/13/2018,2.5,5
F,UK,9/14/2018,1.892857143,6
F,Germany,9/15/2018,1.285714286,7
F,Sweden,9/16/2018,0.6785714286,8
F,France,9/17/2018,0.07142857143,9
F,Austria,9/18/2018,25,10
F,Germany,9/19/2018,26,11
F,Sweden,9/20/2018,2,12
F,France,9/21/2018,3,13
F,Austria,1/1/2018,4,1
F,Hngary,1/2/2018,5,2
F,Finland,1/3/2018,6,3
F,UK,1/4/2018,7,4
F,Germany,1/5/2018,8,5
F,Sweden,1/6/2018,9,6
F,France,1/7/2018,10,7
F,Austria,1/8/2018,11,8
F,Germany,1/9/2018,5.357214544,9
F,Sweden,1/10/2018,5.202260689,10
F,France,1/11/2018,5.047306834,11
F,Austria,1/12/2018,4.892352979,12
F,Hngary,1/13/2018,4.737399124,13
F,Finland,1/14/2018,4.582445269,14
F,UK,1/15/2018,4.427491414,15
F,Germany,1/16/2018,4.272537559,16
F,Sweden,1/17/2018,4.117583705,17
F,France,1/18/2018,3.96262985,16
F,Austria,1/19/2018,3.807675995,17
F,Germany,1/20/2018,3.65272214,18
F,Sweden,1/21/2018,3.497768285,19
F,France,1/22/2018,3.34281443,20
F,Austria,10/10/2018,3.187860575,21
F,Hngary,10/11/2018,3.03290672,22
F,Finland,10/12/2018,2.877952865,23
F,UK,10/13/2018,2.72299901,24
F,Germany,10/14/2018,2.568045155,25
F,Sweden,10/15/2018,2.413091301,26
F,France,10/16/2018,2.258137446,2
F,Austria,10/17/2018,2.103183591,3
F,Germany,10/18/2018,1.948229736,4
F,Sweden,10/19/2018,1.793275881,5
F,France,10/20/2018,1.638322026,6
F,Austria,10/21/2018,1.483368171,7
F,Hngary,10/22/2018,1.328414316,8
F,Finland,10/23/2018,1.173460461,9
F,UK,10/24/2018,1.018506606,10
F,Germany,10/25/2018,0.8635527516,25
F,Sweden,10/26/2018,0.7085988966,26
F,France,10/27/2018,0.5536450417,2
F,Austria,10/28/2018,0.3986911868,3
F,Germany,10/29/2018,0.2437373319,4
F,Sweden,1/1/2018,0.08878347703,5
F,France,1/2/2018,7,6
F,Austria,1/3/2018,8,7
F,Hngary,1/4/2018,9,8
F,Finland,1/5/2018,10,9
F,UK,1/6/2018,11,10
F,Germany,1/7/2018,5.357214544,11
F,Sweden,1/8/2018,5.202260689,12
F,France,1/9/2018,5.047306834,13
F,Austria,1/10/2018,4.892352979,1
F,Germany,1/11/2018,4.737399124,2
F,Sweden,1/12/2018,4.582445269,3
F,France,1/13/2018,4.427491414,4
F,Austria,1/14/2018,4.272537559,5
G,Hngary,1/15/2018,4.117583705,6
G,Finland,1/16/2018,3.96262985,7
G,UK,1/17/2018,3.807675995,8
G,Germany,1/18/2018,3.65272214,9
G,Sweden,1/19/2018,3.497768285,10
G,France,1/20/2018,3.34281443,11
G,Austria,1/21/2018,3.187860575,12
G,Germany,1/22/2018,3.03290672,13
G,Sweden,1/23/2018,2.877952865,14
G,France,1/24/2018,2.72299901,15
G,Austria,1/25/2018,2.568045155,16
G,Hngary,1/26/2018,2.413091301,17
G,Finland,1/27/2018,2.258137446,16
G,UK,1/28/2018,2.103183591,17
G,Germany,1/29/2018,1.948229736,18
G,Sweden,1/30/2018,1.793275881,19
G,France,1/31/2018,1.638322026,20
G,Austria,2/1/2018,7,21
G,Germany,2/2/2018,8,22
G,Sweden,2/3/2018,9,23
G,France,2/4/2018,10,24
G,Austria,2/5/2018,11,25
G,Hngary,2/6/2018,5.357214544,26
G,Finland,2/7/2018,5.202260689,2
G,UK,2/8/2018,5.047306834,3
G,Germany,2/9/2018,4.892352979,4
G,Sweden,2/10/2018,4.737399124,5
G,France,1/1/2018,4.582445269,6
G,Austria,1/2/2018,4.427491414,7
G,Germany,1/3/2018,4.272537559,8
G,Sweden,1/4/2018,4.117583705,9
G,France,1/5/2018,3.96262985,10
G,Austria,1/6/2018,3.807675995,10
G,Hngary,1/7/2018,3.65272214,11
G,Finland,1/8/2018,3.497768285,12
G,UK,1/9/2018,3.34281443,13
G,Germany,1/10/2018,3.187860575,14
G,Sweden,1/11/2018,3.03290672,15
G,France,1/12/2018,2.877952865,16
G,Austria,1/13/2018,2.72299901,17
G,Germany,1/14/2018,2.568045155,16
G,Sweden,1/15/2018,2.413091301,17
G,France,1/16/2018,2.258137446,18
G,Austria,1/17/2018,2.103183591,19
G,Hngary,1/18/2018,1.948229736,20
G,Finland,1/19/2018,1.793275881,21
G,UK,1/20/2018,1.638322026,22
G,Germany,1/21/2018,3.187860575,23
G,Sweden,1/22/2018,3.03290672,24
G,France,1/23/2018,2.877952865,25
G,Austria,1/24/2018,2.72299901,26
G,Germany,1/25/2018,2.568045155,2
G,Sweden,1/26/2018,2.413091301,3
G,France,1/27/2018,2.258137446,4
G,Austria,1/28/2018,2.103183591,5
G,Hngary,1/29/2018,1.948229736,6
G,Finland,1/30/2018,1.793275881,7
G,UK,1/31/2018,1.638322026,24
G,Germany,2/1/2018,7,25
G,Sweden,2/2/2018,8,26
G,France,2/3/2018,9,2
G,Austria,2/4/2018,10,3
G,Germany,2/5/2018,11,4
G,Sweden,2/6/2018,5.357214544,5
G,France,2/7/2018,5.202260689,6
G,Austria,2/8/2018,5.047306834,7
G,Hngary,2/9/2018,4.892352979,8
G,Finland,2/10/2018,4.737399124,9
G,UK,2/11/2018,4.582445269,10